证券代码$|$销售人代码2$|$赎回交收天数（天）
23张伟$|$103000000003$|$3
10张伟$|$103000000003$|$4
18王五$|$103000000003$|$1
28李静$|$103000000003$|$2
19李静$|$103000000003$|$4
20张三$|$103000000003$|$5
11张鸣$|$103000000003$|$4
10张鸣$|$103000000003$|$4
21张鸣$|$103000000003$|$2
24张三$|$103000000003$|$5
25张伟$|$103000000003$|$3
18张鸣$|$103000000003$|$4
34王五$|$103000000003$|$1
22李静$|$103000000003$|$2
33张伟$|$103000000003$|$3
11张鸣$|$103000000003$|$2
25张鸣$|$103000000003$|$5
14张三$|$103000000003$|$2
37李静$|$103000000003$|$1
20王五$|$103000000003$|$5
28张三$|$103000000003$|$1
31李静$|$103000000003$|$4
14张三$|$103000000003$|$5
32王五$|$103000000003$|$1
12王五$|$103000000003$|$1
36李静$|$103000000003$|$1
36李四$|$103000000003$|$2
21李四$|$103000000003$|$4
14张鸣$|$103000000003$|$1
34张三$|$103000000003$|$1
30李静$|$103000000003$|$4
29张三$|$103000000003$|$5
35张伟$|$103000000003$|$5
28张伟$|$103000000003$|$2
31张三$|$103000000003$|$5
20李四$|$103000000003$|$5
20张鸣$|$103000000003$|$3
20张三$|$103000000003$|$5
33张鸣$|$103000000003$|$2
13李静$|$103000000003$|$3
14李静$|$103000000003$|$1
32张三$|$103000000003$|$4
10张鸣$|$103000000003$|$5
26张三$|$103000000003$|$2
38张三$|$103000000003$|$5
37张三$|$103000000003$|$5
15李静$|$103000000003$|$1
20张三$|$103000000003$|$2
22张鸣$|$103000000003$|$4
34王五$|$103000000003$|$1
39张鸣$|$103000000003$|$4
29李四$|$103000000003$|$4
27张伟$|$103000000003$|$3
18王五$|$103000000003$|$3
36张伟$|$103000000003$|$1
24张鸣$|$103000000003$|$5
22李静$|$103000000003$|$3
18张三$|$103000000003$|$4
18张伟$|$103000000003$|$1
22王五$|$103000000003$|$1
29王五$|$103000000003$|$2
33张伟$|$103000000003$|$1
35李四$|$103000000003$|$5
39王五$|$103000000003$|$4
20李四$|$103000000003$|$2
15张鸣$|$103000000003$|$3
35张三$|$103000000003$|$4
39王五$|$103000000003$|$4
13王五$|$103000000003$|$1
30王五$|$103000000003$|$3
25张伟$|$103000000003$|$1
19李四$|$103000000003$|$1
18李四$|$103000000003$|$4
24王五$|$103000000003$|$2
38王五$|$103000000003$|$1
32李静$|$103000000003$|$1
21李四$|$103000000003$|$3
31李静$|$103000000003$|$5
19李四$|$103000000003$|$5
19张鸣$|$103000000003$|$2
34李静$|$103000000003$|$2
27李静$|$103000000003$|$5
31张三$|$103000000003$|$3
28李四$|$103000000003$|$3
19张鸣$|$103000000003$|$4
19张伟$|$103000000003$|$2
13李四$|$103000000003$|$2
36王五$|$103000000003$|$1
15李四$|$103000000003$|$4
24张鸣$|$103000000003$|$4
20张伟$|$103000000003$|$3
12张鸣$|$103000000003$|$5
12李静$|$103000000003$|$1
38王五$|$103000000003$|$3
11李四$|$103000000003$|$5
13李四$|$103000000003$|$2
24张鸣$|$103000000003$|$2
19张伟$|$103000000003$|$3
11李静$|$103000000003$|$5
22张鸣$|$103000000003$|$3
10张三$|$103000000003$|$5
15张伟$|$103000000003$|$1
21张伟$|$103000000003$|$3
36张三$|$103000000003$|$4
24张三$|$103000000003$|$5
25张伟$|$103000000003$|$2
39李静$|$103000000003$|$2
10张三$|$103000000003$|$3
20李静$|$103000000003$|$4
31李四$|$103000000003$|$2
38张伟$|$103000000003$|$4
17王五$|$103000000003$|$5
17张鸣$|$103000000003$|$4
36李静$|$103000000003$|$1
36张伟$|$103000000003$|$1
11李四$|$103000000003$|$3
35张伟$|$103000000003$|$1
31李四$|$103000000003$|$2
20张三$|$103000000003$|$4
18张鸣$|$103000000003$|$5
26李静$|$103000000003$|$4
26李四$|$103000000003$|$3
28张三$|$103000000003$|$4
30王五$|$103000000003$|$1
31张三$|$103000000003$|$1
19王五$|$103000000003$|$2
10张鸣$|$103000000003$|$3
32张三$|$103000000003$|$5
39张鸣$|$103000000003$|$4
17李四$|$103000000003$|$2
26王五$|$103000000003$|$1
19李静$|$103000000003$|$4
30张三$|$103000000003$|$1
19王五$|$103000000003$|$4
15张鸣$|$103000000003$|$5
10张三$|$103000000003$|$1
28李静$|$103000000003$|$4
27张三$|$103000000003$|$2
11李四$|$103000000003$|$4
29王五$|$103000000003$|$5
31张伟$|$103000000003$|$5
20王五$|$103000000003$|$4
14张鸣$|$103000000003$|$3
23张鸣$|$103000000003$|$4
18张鸣$|$103000000003$|$3
16张鸣$|$103000000003$|$2
28张伟$|$103000000003$|$1
11李静$|$103000000003$|$1
38张三$|$103000000003$|$2
34李静$|$103000000003$|$4
13李四$|$103000000003$|$2
18李静$|$103000000003$|$4
20张鸣$|$103000000003$|$5
13张鸣$|$103000000003$|$5
17张三$|$103000000003$|$3
10张鸣$|$103000000003$|$3
20张三$|$103000000003$|$1
22张三$|$103000000003$|$3
16张三$|$103000000003$|$3
26张三$|$103000000003$|$4
30张鸣$|$103000000003$|$2
39张鸣$|$103000000003$|$4
18张三$|$103000000003$|$5
36张鸣$|$103000000003$|$3
25王五$|$103000000003$|$4
34王五$|$103000000003$|$5
21张三$|$103000000003$|$2
30张三$|$103000000003$|$5
16李四$|$103000000003$|$1
35李静$|$103000000003$|$1
21李静$|$103000000003$|$1
20李四$|$103000000003$|$5
23张鸣$|$103000000003$|$5
20李静$|$103000000003$|$4
21张三$|$103000000003$|$4
10李四$|$103000000003$|$2
19张三$|$103000000003$|$4
26张鸣$|$103000000003$|$1
21张三$|$103000000003$|$2
21王五$|$103000000003$|$1
27李四$|$103000000003$|$5
21张鸣$|$103000000003$|$3
30张三$|$103000000003$|$4
17张鸣$|$103000000003$|$1
33张三$|$103000000003$|$3
14李四$|$103000000003$|$5
26李静$|$103000000003$|$3
30张鸣$|$103000000003$|$1
35王五$|$103000000003$|$4
16张伟$|$103000000003$|$4
21李静$|$103000000003$|$3
27王五$|$103000000003$|$3
26李静$|$103000000003$|$3
19李静$|$103000000003$|$2
17李四$|$103000000003$|$1
37张鸣$|$103000000003$|$4
24张伟$|$103000000003$|$5
26张鸣$|$103000000003$|$1
15张鸣$|$103000000003$|$1
10李静$|$103000000003$|$5
34张伟$|$103000000003$|$1
22张鸣$|$103000000003$|$1
28张伟$|$103000000003$|$3
14李四$|$103000000003$|$5
15李静$|$103000000003$|$4
25张三$|$103000000003$|$5
22张伟$|$103000000003$|$1
28张鸣$|$103000000003$|$3
34王五$|$103000000003$|$4
16李静$|$103000000003$|$5
16张伟$|$103000000003$|$5
28王五$|$103000000003$|$4
14李四$|$103000000003$|$4
39张鸣$|$103000000003$|$4
20李静$|$103000000003$|$5
25张伟$|$103000000003$|$3
13王五$|$103000000003$|$5
24张伟$|$103000000003$|$2
30王五$|$103000000003$|$4
37李静$|$103000000003$|$5
21张鸣$|$103000000003$|$5
13王五$|$103000000003$|$4
31李静$|$103000000003$|$1
22李四$|$103000000003$|$3
30李四$|$103000000003$|$2
20王五$|$103000000003$|$4
34张伟$|$103000000003$|$1
16张鸣$|$103000000003$|$4
38张三$|$103000000003$|$2
14王五$|$103000000003$|$1
25李静$|$103000000003$|$4
16王五$|$103000000003$|$4
24李静$|$103000000003$|$3
10张三$|$103000000003$|$4
31王五$|$103000000003$|$5
29张鸣$|$103000000003$|$5
17张鸣$|$103000000003$|$4
35张伟$|$103000000003$|$3
32张三$|$103000000003$|$1
27张伟$|$103000000003$|$1
33王五$|$103000000003$|$4
33李四$|$103000000003$|$1
28李四$|$103000000003$|$1
37张三$|$103000000003$|$5
38张鸣$|$103000000003$|$5
28王五$|$103000000003$|$3
34张三$|$103000000003$|$1
16张三$|$103000000003$|$4
20张鸣$|$103000000003$|$2
19张鸣$|$103000000003$|$1
17张三$|$103000000003$|$1
